source,edge,target,sentence,edge-comments,label
parents,said they didn't believe in,vaccine safety,parents said they didn't believe in vaccine safety,,neu
adverse effects,experienced after,flu shots,adverse effects experienced after flu shots,,neg
risk,of complications is lower but still significant for,pertussis in teens,risk of complications is lower but still significant for pertussis in teens,,neu
HPV vaccine,is recommended,ages 11 or 12,HPV vaccine is recommended ages 11 or 12,,pos
SV40,scientists reported in variety,brain cancer,SV40 scientists reported in variety brain cancer,by 1996,neg
Scott Morrison,is,Australian social services minister,Scott Morrison is Australian social services minister,,pos
CDC website,was caught for removing page with information about,SV40,CDC website was caught for removing page with information about SV40,,neg
vaccine apologists,are despicable,intellectual bullies,vaccine apologists are despicable intellectual bullies,,neg
childcare services,regulation was responsibility of,states,childcare services regulation was responsibility of states,and territory,pos
vaccine efficacy,is still high,acelluar vaccine,vaccine efficacy is still high acelluar vaccine,,neu
measles,infections reduction through,vaccination,measles infections reduction through vaccination,the scientists found,pos
Dwoskin Family Foundation,started by,Alfred and Lisa Claire Dwoskin,Dwoskin Family Foundation started by Alfred and Lisa Claire Dwoskin,,neu
childhood mortality,"reduction is even larger in most impoverished populations, reaching up to 90 percent from",measles vaccine,"childhood mortality reduction is even larger in most impoverished populations, reaching up to 90 percent from measles vaccine",,pos
autism risk,from exposure during infancy,thimerosal,autism risk from exposure during infancy thimerosal,,neg
monosodium glutamate,is known,neurotoxin,monosodium glutamate is known neurotoxin,,neg
children,received 15 doses of seven by two years old,vaccines,children received 15 doses of seven by two years old vaccines,,neg
NHS medical staff,some were affected by,Pandemrix,NHS medical staff some were affected by Pandemrix,reports International Business Times,neg
CDC,falsely claims,vaccine efficacy,CDC falsely claims vaccine efficacy,,neg
risk,of being precancerous dropped after,vaccination,risk of being precancerous dropped after vaccination,,pos
JAMA study,examined,insurance claims,JAMA study examined insurance claims,,pos
vaccines,contain components of,pig,vaccines contain components of pig,,pos
high-dose flu vaccine,provided better protection against lab-confirmed flu illness than did the,standard vaccine,high-dose flu vaccine provided better protection against lab-confirmed flu illness than did the standard vaccine,says Sanofi Pasteur,neu
low vaccination rates,at community level are putting children,at risk,low vaccination rates at community level are putting children at risk,,pos
anti-vaccination,voices boosted by,celebrities,anti-vaccination voices boosted by celebrities,,neu
decrease in exemption rates,is,good news,decrease in exemption rates is good news,,pos
CDC,warns should not get,shingles vaccine,CDC warns should not get shingles vaccine,if you have weakened immune system,neg
free vaccine eligible,girls had 2.32 fewer cases,cervical dysplasia,free vaccine eligible girls had 2.32 fewer cases cervical dysplasia,than non-free vaccine eligible girls,pos
PLOS Computational Biology,published a paper that found level of protection is lower from new,acellular pertussis vaccine,PLOS Computational Biology published a paper that found level of protection is lower from new acellular pertussis vaccine,,neu
parents,have not heard of today's vaccines because of,vaccine success,parents have not heard of today's vaccines because of vaccine success,,pos
shingles vaccine ingredients,include,potassium chloride,shingles vaccine ingredients include potassium chloride,,neg
advice,was legally morally and ethically wrong from,Alysia Osoff,advice was legally morally and ethically wrong from Alysia Osoff,,neg
infant death after vaccination,medical professionals continuously just write off as,sudden infant death syndrome,infant death after vaccination medical professionals continuously just write off as sudden infant death syndrome,,neg
doctors,must inoculate people against,ideas,doctors must inoculate people against ideas,,pos
parents,some vehemently oppose,vaccines,parents some vehemently oppose vaccines,,pos
parents,are putting at risk,daughters,parents are putting at risk daughters,researchers say,pos
vaccines,cause,cognitive disorders,vaccines cause cognitive disorders,,neu
measles cycle,did not happen after,Baby Boom,measles cycle did not happen after Baby Boom,never saw another historic major spike after 2-3 years,neg
health benefits,are positive for,Gardasil,health benefits are positive for Gardasil,on teens,pos
vitamin A supplements,confirmed to reduce significantly,measles complications,vitamin A supplements confirmed to reduce significantly measles complications,1990 NEJM,neg
measles vaccination,the national average is 91 percent,United States,measles vaccination the national average is 91 percent United States,,pos
vaccines,cause,autism,vaccines cause autism,is misguided claims,pos
vaccines,are not,trustworthy,vaccines are not trustworthy,,neg
vaccines,help body safely develop,immunity,vaccines help body safely develop immunity,,pos
childhood disease,serious like,measles,childhood disease serious like measles,,pos
pandemic H1N1 swine flu,turned out to be one of the mildest in recent years,flu season,pandemic H1N1 swine flu turned out to be one of the mildest in recent years flu season,,neg
marketing,used to build and garner,support,marketing used to build and garner support,,neg
CDC,says about 2 weeks,measles recovery period,CDC says about 2 weeks measles recovery period,,neg
autism,was directly caused by,thimerosal,autism was directly caused by thimerosal,my son,neg
vaccination,could lead to profound,mental disorders,vaccination could lead to profound mental disorders,,pos
Governor Jerry Brown,has signaled that he supports,SB 277,Governor Jerry Brown has signaled that he supports SB 277,the bill,pos
parents,who do personal belief exemption don't do it because they are,uninformed,parents who do personal belief exemption don't do it because they are uninformed,,pos
HPV vaccine,protection against,genital warts,HPV vaccine protection against genital warts,in women,pos
adverse effects,experienced after flu shot vaccines include,arthritis,adverse effects experienced after flu shot vaccines include arthritis,,neg
myth,led to,false concerns,myth led to false concerns,Senator Jeff Stone,pos
Gardasil,has not yet released,post-marking surveillance,Gardasil has not yet released post-marking surveillance,,neg
MMR vaccine,no link between,autism,MMR vaccine no link between autism,,pos
republicans,most in California voted against,SB 277,republicans most in California voted against SB 277,the measure,pos
children,will never again lead,normal life,children will never again lead normal life,,neg
Tanzania,has passed 92 to 94%,vaccination coverage,Tanzania has passed 92 to 94% vaccination coverage,,pos
SB 277,opponents many said would continue,protest,SB 277 opponents many said would continue protest,,neu
William Thompson,omitted statistically significant information in,article,William Thompson omitted statistically significant information in article,CDC,neg
intelligent questions,are not allowed to be asked about,vaccines,intelligent questions are not allowed to be asked about vaccines,,neg
autism,results in,extreme challenges,autism results in extreme challenges,for family of child with ASD,neg
collagen,inside,pig bones,collagen inside pig bones,,neg
pregnant women,should not get,shingles vaccine,pregnant women should not get shingles vaccine,says CDC,neg
vaccines,are being forced on,disabled children,vaccines are being forced on disabled children,,neg
Polysorbate 80,is questionable,vaccine ingredients,Polysorbate 80 is questionable vaccine ingredients,,neg
vaccine industry,use mercury for,convenience,vaccine industry use mercury for convenience,,neg
CDC,recommends,flu shots,CDC recommends flu shots,,neg
birth defects,rubella can cause in,pregnant women,birth defects rubella can cause in pregnant women,,pos
pertussis vaccine,after 2-4 years falls to 34%,effectiveness,pertussis vaccine after 2-4 years falls to 34% effectiveness,said Dr. Anna Acosta,neu
Octoxinol-9,is questionable,vaccine ingredients,Octoxinol-9 is questionable vaccine ingredients,,neg
National Vaccine Information Center,found that many,childhood vaccines,National Vaccine Information Center found that many childhood vaccines,,neg
alzheimer's,since the 1980s has significantly,increased,alzheimer's since the 1980s has significantly increased,,neu
religion,is used to dodge crucial immunizations against diseases such as,measles,religion is used to dodge crucial immunizations against diseases such as measles,,pos
vaccine insert sheets,readily admit they are manufactured with a cocktail of,toxic chemical ingredients,vaccine insert sheets readily admit they are manufactured with a cocktail of toxic chemical ingredients,,neg
vaccines,no good scientific evidence that demonstrates not contributing to increasing incidence of,disability,vaccines no good scientific evidence that demonstrates not contributing to increasing incidence of disability,,neg
controlled trials,there have been none adequately demonstrating decrease in influenza disease after vaccination with,FLULAVAL,controlled trials there have been none adequately demonstrating decrease in influenza disease after vaccination with FLULAVAL,,neg
doctors,can choose not to report adverse,vaccine reactions,doctors can choose not to report adverse vaccine reactions,,neg
cancer viruses,include,SV40,cancer viruses include SV40,openly admitted by top Merck vaccine scientist named Hilleman,neg
HPV vaccine,needs to be given before,at risk,HPV vaccine needs to be given before at risk,,pos
meningococcal conjugate booster,recommended at,16 years of age,meningococcal conjugate booster recommended at 16 years of age,,pos
William Moss,was not involved in,Mina study,William Moss was not involved in Mina study,says William Moss,pos
pushing vaccines on children,violates protocols for,informed consent,pushing vaccines on children violates protocols for informed consent,,neg
United States,has not passed 92 to 94%,vaccination coverage,United States has not passed 92 to 94% vaccination coverage,,pos
community,variation is putting kids in danger,vaccination rate,community variation is putting kids in danger vaccination rate,,pos
vaccine industry,has,medical fraud,vaccine industry has medical fraud,,neg
Dr. Paul Offit,promotes,mandatory vaccines,Dr. Paul Offit promotes mandatory vaccines,,neg
minor symptoms,should be,expected,minor symptoms should be expected,,pos
Dr. Paul Offit,has big,personal financial stake,Dr. Paul Offit has big personal financial stake,,neg
thimerosal-induced cellular damage,led to,cellular degeneration,thimerosal-induced cellular damage led to cellular degeneration,,neg
oil of oregano,is,essential oils,oil of oregano is essential oils,,neg
surveys,put closer to 1% number of unreported,reactions,surveys put closer to 1% number of unreported reactions,,neg
children with cancer,cannot receive,vaccination,children with cancer cannot receive vaccination,,pos
IV drug abuse,real risk of acquiring,hepatitis B,IV drug abuse real risk of acquiring hepatitis B,,neg
lobbying,manipulates,politicians,lobbying manipulates politicians,,neg
CDC,has been shunning for a very long time correlation of,thimerosal,CDC has been shunning for a very long time correlation of thimerosal,,neg
parents,critical they protect their children against,measles,parents critical they protect their children against measles,,pos
vaccine-autism link,dismissal is,unconcscionable,vaccine-autism link dismissal is unconcscionable,,neg
thimerosal,was eventually removed from the majority of,childhood vaccines,thimerosal was eventually removed from the majority of childhood vaccines,in 2001,neg
vaccination,were urged after WHO designated,pandemic H1N1 swine flu,vaccination were urged after WHO designated pandemic H1N1 swine flu,,neg
pandemic H1N1 swine flu vaccine,federal oversight committee found possible link to,Guillain-Barre syndrome,pandemic H1N1 swine flu vaccine federal oversight committee found possible link to Guillain-Barre syndrome,GBS,neg
anti-vaxxer,has,true-believer cohort,anti-vaxxer has true-believer cohort,,pos
folic acid,accumulates and becomes,toxic,folic acid accumulates and becomes toxic,,neg
ethylmercury,extremely toxic to the human,nervous system,ethylmercury extremely toxic to the human nervous system,,neg
families,in Arizona number is increasing,anti-vaccination,families in Arizona number is increasing anti-vaccination,in Arizona,pos
California government,coerces,children,California government coerces children,,neg
childhood mortality,plummeted for,infectious disease,childhood mortality plummeted for infectious disease,after measles vaccine,pos
drug companies,want taken out of people's hands the right to make informed,vaccine choices,drug companies want taken out of people's hands the right to make informed vaccine choices,,neg
corporate-controlled science,is not real,science,corporate-controlled science is not real science,,neg
vaccines,unethical to withhold on purpose from,children,vaccines unethical to withhold on purpose from children,,pos
cervical dysplasia,characterized by,abnormal cells,cervical dysplasia characterized by abnormal cells,,pos
pharmaceutical profits,have soared from,pandemic H1N1 swine flu vaccine,pharmaceutical profits have soared from pandemic H1N1 swine flu vaccine,,neg
public health,organizations agree is false,vaccine-autism link,public health organizations agree is false vaccine-autism link,,pos
genetic predisposition,to adverse MMR reaction is a ,myth,genetic predisposition to adverse MMR reaction is a  myth,says Dr. Mark Schleiss,pos
Octoxinol-9,is also used in,spermicidal applications,Octoxinol-9 is also used in spermicidal applications,,neg
vaccination,dramatically increasing the number during the past 30 years may not have led to,healthier children,vaccination dramatically increasing the number during the past 30 years may not have led to healthier children,may not have,neg
hepatitis B,for every child that contracted there were 20 immunized babies reported to have severe,complications,hepatitis B for every child that contracted there were 20 immunized babies reported to have severe complications,,neg
meningococcal disease,very few cases occur as part of an,outbreaks,meningococcal disease very few cases occur as part of an outbreaks,,pos
United States,in 1969 canceled research on,biological weapons,United States in 1969 canceled research on biological weapons,,neg
HPV vaccine,trial in Costa Rica findings support current,HPV vaccine recommendations,HPV vaccine trial in Costa Rica findings support current HPV vaccine recommendations,said Daniel C. Bleacher,pos
parents,are often told to just accept as a random event,infant death,parents are often told to just accept as a random event infant death,even after their infant was injected with multiple toxic substances,neg
Chairwoman Carol Liu,voiced similar,concerns,Chairwoman Carol Liu voiced similar concerns,to parents and children,neu
vaccine court,is,violation of law,vaccine court is violation of law,,neg
polio vaccine opposition,much in,Afghanistan,polio vaccine opposition much in Afghanistan,,pos
artificial vaccine,is behind an increase in cases of deadly,disease,artificial vaccine is behind an increase in cases of deadly disease,,neu
national news headlines,would be condemning the fraud as endangering,public,national news headlines would be condemning the fraud as endangering public,,neg
vaccines,cause ,encephalopathy,vaccines cause  encephalopathy,government admits,neg
environmental factors,we don't understand those contributing to the exponential rise in,autism,environmental factors we don't understand those contributing to the exponential rise in autism,,pos
opponent of sanity-oriented legislation,anti-vaxxer is effective despite,minority views,opponent of sanity-oriented legislation anti-vaxxer is effective despite minority views,,pos
Dr. Bryan King,is psychiatrist and autism specialist at,Seattle Children's Hospital,Dr. Bryan King is psychiatrist and autism specialist at Seattle Children's Hospital,,pos
informed consent,obtaining for a medical procedure under false pretenses violates,American Nursing Association's Code of Ethics,informed consent obtaining for a medical procedure under false pretenses violates American Nursing Association's Code of Ethics,,neg
vaccine industry,watchdog obtained,CDC documents,vaccine industry watchdog obtained CDC documents,,neg
vaccines,caused a spike in adverse events for those with,genetic predisposition,vaccines caused a spike in adverse events for those with genetic predisposition,,neg
vaccines,link to,autism,vaccines link to autism,,neg
CDC,obscure an existing link between vaccines and,autism,CDC obscure an existing link between vaccines and autism,,neg
Robert F. Kennedy Jr.,is disgusted by the widespread use of,neurotoxin,Robert F. Kennedy Jr. is disgusted by the widespread use of neurotoxin,in vaccines,neg
parents,takes years to gain,courage,parents takes years to gain courage,to share painful journey,neg
unvaccinated children,tests would show are smarter than,vaccinated children,unvaccinated children tests would show are smarter than vaccinated children,,neg
Jim Carrey,shed light on,vaccine corruption,Jim Carrey shed light on vaccine corruption,of CDC,neg
mainstream media,about an occasional outbreak of a disease are usually designed to promote as much,fear,mainstream media about an occasional outbreak of a disease are usually designed to promote as much fear,,neg
hospital,better hope is nearby if you take fifty,aspirin,hospital better hope is nearby if you take fifty aspirin,,neg
Freedom of Information Act,requests have resulted in copious evidence for,vaccine-autism link,Freedom of Information Act requests have resulted in copious evidence for vaccine-autism link,thimerosal-neurodevelopmental disorders link,neg
GlaxoSmithKine's Energix B,licensed as,thimerosal-free,GlaxoSmithKine's Energix B licensed as thimerosal-free,,neg
independent reviews,done due to steady increase in,autism cases,independent reviews done due to steady increase in autism cases,,neg
vaccinated children,autism severity does not differ compared to,unvaccinated children,vaccinated children autism severity does not differ compared to unvaccinated children,,pos
genital warts,tends to be earliest signs of,HPV infection,genital warts tends to be earliest signs of HPV infection,,pos
parents,will still fear,vaccine-autism link,parents will still fear vaccine-autism link,MMR,pos
discrimination,could come soon when it comes to,health insurance,discrimination could come soon when it comes to health insurance,,neg
vaccines,"I believe in, but I do not believe in",thimerosal,"vaccines I believe in, but I do not believe in thimerosal",,neg
Early Childhood Australia,is,early childcare advocacy group,Early Childhood Australia is early childcare advocacy group,in Australia,pos
SV40,related to ,tumors,SV40 related to  tumors,,neg
states,begin implementing such,interventions,states begin implementing such interventions,,pos
measles,2499 encephalitis cases,Dutch Bible belt,measles 2499 encephalitis cases Dutch Bible belt,,pos
blockade,medical dictatorship enforced against,intelligent questions,blockade medical dictatorship enforced against intelligent questions,,neg
vaccine-preventable diseases,still circulate around,United States,vaccine-preventable diseases still circulate around United States,,pos
children,are later exposed to life-threatening,disease,children are later exposed to life-threatening disease,,pos
infection,of anus is,high-risk types of HPV,infection of anus is high-risk types of HPV,,pos
polio,vaccine successes is pure,fabrication,polio vaccine successes is pure fabrication,,neg
parents,were never allowed to see their son before he was cremated,infant death after vaccination,parents were never allowed to see their son before he was cremated infant death after vaccination,,neg
JAMA study,"study of 95,000 children finds no",vaccine-autism link,"JAMA study study of 95,000 children finds no vaccine-autism link",MMR,pos
United States,giving more,vaccines,United States giving more vaccines,than other first-world nations,neg
Nichole Rolfe,wrongfully let go from,Baker College nursing school,Nichole Rolfe wrongfully let go from Baker College nursing school,for trying to abide by proper protocol,neg
lab results,fabricated to claim 95% efficacy rate for,mumps vaccine,lab results fabricated to claim 95% efficacy rate for mumps vaccine,,neg
injecting any substance,into the human body makes it orders of magnitude more potentially,toxic,injecting any substance into the human body makes it orders of magnitude more potentially toxic,because it bypasses the protections of the digestive tract or the respiratory system,neg
medical dictatorship,surest sign is an aggressively enforced blockade against,intelligent questions,medical dictatorship surest sign is an aggressively enforced blockade against intelligent questions,,neg
Andrew Wakefield,is former British doctor and co-author of discredited 1998 paper that claimed,vaccine-autism link,Andrew Wakefield is former British doctor and co-author of discredited 1998 paper that claimed vaccine-autism link,MMR,neu
West Virginia,has limited,medical exemption,West Virginia has limited medical exemption,for MMR vaccine,pos
SB 277,would deprive young people of,public education,SB 277 would deprive young people of public education,,neu
parents of autistic children,who withheld vaccines from their children could contribute to the apparently lower,lower rate of autism in vaccinated children,parents of autistic children who withheld vaccines from their children could contribute to the apparently lower lower rate of autism in vaccinated children,,pos
shingles vaccine,is made with,monosodium glutamate,shingles vaccine is made with monosodium glutamate,,neg
thimerosal,was also given if there was any bleeding during pregnancy or if amniocentesis was done,pregnant women,thimerosal was also given if there was any bleeding during pregnancy or if amniocentesis was done pregnant women,,neg
polarized area,has,side of right and good,polarized area has side of right and good,or you're Jenny McCarthy,neu
upward trend,despite low number of,cases,upward trend despite low number of cases,says Professor Neil Ferguson,neu
African American males,were at increased risk for autism who received before age 36 months,MMR,African American males were at increased risk for autism who received before age 36 months MMR,,neg
SV40,more than 60 studies confirmed virus found in variety of,cancer,SV40 more than 60 studies confirmed virus found in variety of cancer,"including brain, bone, and lymphatic",neg
HPV vaccine,protects against,cervical cancer,HPV vaccine protects against cervical cancer,,pos
Crystal Downing,is mother of,Matthew Downing,Crystal Downing is mother of Matthew Downing,,neg
federal government representatives,large chunk of money coming from,health care sector,federal government representatives large chunk of money coming from health care sector,,neg
anti-vaxxer,is an effective,opponent of sanity-oriented legislation,anti-vaxxer is an effective opponent of sanity-oriented legislation,of sanity-oriented legislation,pos
bacillus thuringiensis bacteria,is inserted to kill pests and weeds of,plants,bacillus thuringiensis bacteria is inserted to kill pests and weeds of plants,BT bacteria,neg
vaccination rate,have been on the rise for subset,Dutch reformed churches,vaccination rate have been on the rise for subset Dutch reformed churches,,pos
Jenny McCarthy,was a bad,representative,Jenny McCarthy was a bad representative,for a cause of such huge magnitude,neg
vaccination,impact has taken time to show change in,data,vaccination impact has taken time to show change in data,,neu
shingles,can also lead to,pneumonia,shingles can also lead to pneumonia,tells CDC published warnings,neg
polio vaccine,could be responsible in humans for,cancer,polio vaccine could be responsible in humans for cancer,,neg
parents,would never take the chance to subject their kids to,vaccine dangers,parents would never take the chance to subject their kids to vaccine dangers,if presented with a truthful consent form,neg
doctors,not required by,law,doctors not required by law,to report vaccine adverse reactions,neg
vaccines,are not safe for,pregnant women,vaccines are not safe for pregnant women,,neg
shingles,can also lead to,brain inflammation,shingles can also lead to brain inflammation,tells CDC published warnings,neg
essential oils,have,antiviral qualities,essential oils have antiviral qualities,,neg
unvaccinated children,still would not qualify for,government rebates,unvaccinated children still would not qualify for government rebates,in Australia,pos
Tina Kimmel,is shocked and disappointed about,SB 277,Tina Kimmel is shocked and disappointed about SB 277,,neu
thimerosal,is present in nearly all,seasonal flu shot,thimerosal is present in nearly all seasonal flu shot,,neg
Andrew Wakefield,promulgated,fraud,Andrew Wakefield promulgated fraud,,pos
letter to the editor,write if you have different perspective on,vaccine story,letter to the editor write if you have different perspective on vaccine story,,neg
flu shots,no more effective than,placebo,flu shots no more effective than placebo,,neg
vaccine refusal,is tearing America apart as,radicalism,vaccine refusal is tearing America apart as radicalism,quote one mainstream media columnist,neg
HPV vaccine,protection against,cervical dysplasia,HPV vaccine protection against cervical dysplasia,in women,pos
Governor Jerry Brown,possibility he might urge legislators to include,religious exemption,Governor Jerry Brown possibility he might urge legislators to include religious exemption,,pos
government propaganda,is vaccine messages involving,Elmo,government propaganda is vaccine messages involving Elmo,,neg
Connie Leyva,concerned SB 277 will not go far enough to help,low-income family,Connie Leyva concerned SB 277 will not go far enough to help low-income family,who can't home-school,neu
Jain study,indicated statistically significant finding that they are less likely to be diagnosed with autism than unvaccinated high-risk children,vaccinated high-risk children,Jain study indicated statistically significant finding that they are less likely to be diagnosed with autism than unvaccinated high-risk children vaccinated high-risk children,,pos
vaccines,are not,magic,vaccines are not magic,said Renee Gentry,neu
vaccine bullying curriculum,is for all intents and purposes,illegal,vaccine bullying curriculum is for all intents and purposes illegal,,neg
low vaccination rates,more in,private schools,low vaccination rates more in private schools,than public schools in NJ,pos
thimerosal,not a necessary component of,single dose vaccines,thimerosal not a necessary component of single dose vaccines,,neg
adult brain cells,sent off some type of shoots to get away from,thimerosal,adult brain cells sent off some type of shoots to get away from thimerosal,,neg
vaccine agenda,has,herd mentality,vaccine agenda has herd mentality,,neg
vaccinated,people may be,revaccinated,vaccinated people may be revaccinated,of 2014-2015 FLULAVAL QUADRIVALENT flu vaccine,pos
controversial bill,won overwhelming,approval,controversial bill won overwhelming approval,,pos
doctors,repeated severe,vaccine reactions,doctors repeated severe vaccine reactions,are one in a million,neg
MMR vaccine,no evidence it raises,autism risk,MMR vaccine no evidence it raises autism risk,april 21 issue of J of Am Med Assoc,pos
measles,would have gone away without,measles vaccine,measles would have gone away without measles vaccine,,neg
religion,is used to dodge crucial,vaccination,religion is used to dodge crucial vaccination,,pos
vaccinated children,onset of autism does not differ compared to,unvaccinated children,vaccinated children onset of autism does not differ compared to unvaccinated children,,pos
new version of Gardasil,targets nine,HPV strains,new version of Gardasil targets nine HPV strains,,pos
side effects,common include,headache,side effects common include headache,,pos
Dr. Paul Offit,expressed little surprise at the notion of Tdap,waning effectiveness,Dr. Paul Offit expressed little surprise at the notion of Tdap waning effectiveness,,neu
vaccine industry,instead of making vaccines safer engages in widespread scientific,bullying,vaccine industry instead of making vaccines safer engages in widespread scientific bullying,,neg
Dr. Adams,is an educator for,physicians,Dr. Adams is an educator for physicians,,pos
toxic and ineffective flu shots,are sold in,airports,toxic and ineffective flu shots are sold in airports,,neg
lobbyists,representing,medical trade associations,lobbyists representing medical trade associations,,neg
Dr. Paul Offit,is not just a doctor who believes that,vaccinations save lives,Dr. Paul Offit is not just a doctor who believes that vaccinations save lives,,neg
vaccines,reduce the,risk of infection,vaccines reduce the risk of infection,,pos
MTHFR C677T defect,genetic polymorphism in gene was associated with adverse events after,smallpox vaccination,MTHFR C677T defect genetic polymorphism in gene was associated with adverse events after smallpox vaccination,,neg
anyone,can get,meningococcal disease,anyone can get meningococcal disease,,pos
distractions,used to build and garner,support,distractions used to build and garner support,,neg
Merck,have gone public with,shocking revelations,Merck have gone public with shocking revelations,,neg
orthodox Hasidic Jews,some have participated in trials for,mumps vaccine,orthodox Hasidic Jews some have participated in trials for mumps vaccine,,pos
cancer viruses,were hidden in,polio vaccine,cancer viruses were hidden in polio vaccine,,neg
infants,suddenly died after receiving eight,simultaneous vaccinations,infants suddenly died after receiving eight simultaneous vaccinations,,neg
Nichole Rolfe,trying to abide by,proper protocol,Nichole Rolfe trying to abide by proper protocol,,neg
THEY,are counting on,us not comprehending,THEY are counting on us not comprehending,,neg
aluminum,CDC openly admits still used in,vaccines,aluminum CDC openly admits still used in vaccines,CDC openly admits,neg
hepatitis B vaccine,increased use coincides with rise in,autism,hepatitis B vaccine increased use coincides with rise in autism,,neg
measles,shown by,measles experience,measles shown by measles experience,,pos
vaccine-preventable diseases,large outbreaks are occurring among,religious groups,vaccine-preventable diseases large outbreaks are occurring among religious groups,,pos
Pandemrix,also damaged,NHS medical staff,Pandemrix also damaged NHS medical staff,reports International Business Times,neg
vaccines,are not great for,public health,vaccines are not great for public health,,neg
children,to receive $90 million in,financial compensation,children to receive $90 million in financial compensation,,neg
learning disabilities,number has more than tripled during past 30 years for,children,learning disabilities number has more than tripled during past 30 years for children,,neg
Dr. Paul Offit,is,pediatrician,Dr. Paul Offit is pediatrician,at The Children's Hospital of Philadelphia,pos
SV40,virus is,cancer-causing,SV40 virus is cancer-causing,"SV40, Simian vacuolating virus 40, Simian virus 40",neg
thimerosal,trace amounts are dangerous in,vaccines,thimerosal trace amounts are dangerous in vaccines,,neg
money,could have gone to any number of other,projects,money could have gone to any number of other projects,,pos
vaccines,have,saved lives,vaccines have saved lives,millions,pos
Jain study,adds more weight to evidence about,MMR vaccine safety,Jain study adds more weight to evidence about MMR vaccine safety,,pos
United States,had 3-4 million,measles cases,United States had 3-4 million measles cases,prior to measles vaccine,neg
SB 277,will not help single working,parents,SB 277 will not help single working parents,,neu
highly susceptible,were Baby Boomers because they were previously,unexposed,highly susceptible were Baby Boomers because they were previously unexposed,,neg
United States,in recent years has seen a rising rate of,autism rate,United States in recent years has seen a rising rate of autism rate,,pos
false consent,is,uninformed consent,false consent is uninformed consent,,neg
driving factors,vary significantly at level of,community,driving factors vary significantly at level of community,of parents to opt out of recommended vaccine schedule,pos
vaccine violence,against,children,vaccine violence against children,,neg
vaccine-free day care centres,have been described as potentially catastrophic by,Early Childhood Australia,vaccine-free day care centres have been described as potentially catastrophic by Early Childhood Australia,,pos
antibiotic neomycin,compromises,immunity,antibiotic neomycin compromises immunity,,neg
anti-vaccination,movement has made it difficult to have open conversations about real,vaccine risk,anti-vaccination movement has made it difficult to have open conversations about real vaccine risk,said Renee Gentry,neu
vaccines,cause various,childhood illnesses,vaccines cause various childhood illnesses,,neu
SB 277,will unleash against children,vaccine violence,SB 277 will unleash against children vaccine violence,,neg
parents,can choose to exempt their children from required childcare and school vaccinations for,religious beliefs,parents can choose to exempt their children from required childcare and school vaccinations for religious beliefs,in Arizona,pos
fence-sitters,are unsure about,vaccine-autism link,fence-sitters are unsure about vaccine-autism link,,pos
flu shots,no more effective than placebo for under two,children,flu shots no more effective than placebo for under two children,"according to a large-scale, systematic review of 51 studies, published in Cochrane Database of Systematic Reviews",neg
parents who know that vaccines are not safe,have,vaccine-injured children,parents who know that vaccines are not safe have vaccine-injured children,,neg
vaccine-injured children,often revealed to have,autism,vaccine-injured children often revealed to have autism,,neg
larger campaign,in future may end up dictating whether you will be allowed,higher education,larger campaign in future may end up dictating whether you will be allowed higher education,,neg
lobbying,by vaccine industry to push to influence,mandatory vaccines,lobbying by vaccine industry to push to influence mandatory vaccines,,neg
rubella,none in 2009,new transmission,rubella none in 2009 new transmission,in Western Hemisphere,pos
THEY,are counting on us not comprehending vast,population,THEY are counting on us not comprehending vast population,of global society,neg
glutathione,key biochemical in body's pathway for detoxification of,mercury,glutathione key biochemical in body's pathway for detoxification of mercury,,neg
measles,58 cases in,Orthodox Jewish communities,measles 58 cases in Orthodox Jewish communities,"in Borough Park, Williamsburg Brooklyn",pos
non-medical reasons for exemption,such as,religion,non-medical reasons for exemption such as religion,religious reasons,pos
doctors,is demonstrating ignorance of scientific facts who says the level of,mercury is safe,doctors is demonstrating ignorance of scientific facts who says the level of mercury is safe,,neg
Renee Gentry,is president of,Vaccine Injured Petitioners Bar Association,Renee Gentry is president of Vaccine Injured Petitioners Bar Association,,neu
vaccine-autism link,does not exist even for,children at higher risk for autism,vaccine-autism link does not exist even for children at higher risk for autism,MMR,pos
rubella vaccine,are,cultured cells,rubella vaccine are cultured cells,,pos
Merck,have been,whistleblowers,Merck have been whistleblowers,,neg
anti-vaccination,label is horrible misrepresentation for families who actually have,vaccine-injured children,anti-vaccination label is horrible misrepresentation for families who actually have vaccine-injured children,said Drew Downing,neu
IRF1,genetic polymorphism in gene was associated with adverse events after,smallpox vaccination,IRF1 genetic polymorphism in gene was associated with adverse events after smallpox vaccination,in 2 independent study samples,neg
Pandemrix,causes,heightened risk of narcolepsy,Pandemrix causes heightened risk of narcolepsy,in vaccinated children,neg
anti-vaccination,vaccine opponents are from,California Coalition for Health Choice,anti-vaccination vaccine opponents are from California Coalition for Health Choice,,pos
shingles risk,very slim if already had,shingles,shingles risk very slim if already had shingles,,neg
vaccine alternatives,proponents write,best-sellers,vaccine alternatives proponents write best-sellers,says Dr. Mark Schleiss,pos
doctors,formerly well respected caught falsifying data was,Andrew Wakefield,doctors formerly well respected caught falsifying data was Andrew Wakefield,,neg
pro-vaccination,people upset to hear,measles decline,pro-vaccination people upset to hear measles decline,prior to measles vaccine,neg
vaccine injuries,affect every year,thousands of children,vaccine injuries affect every year thousands of children,,neg
